Index       TIME              V(IN)            V(BASE)           V(COLL)           V(OUT)            I(VDD)      
55       1.50861069e-10   -8.07979689e-03    7.07279857e-01    7.53043682e+00    1.21316352e+00   -2.93419918e-02
56       1.54194402e-10   -3.55396927e-02    6.94378809e-01    7.58771515e+00    1.19032554e+00   -2.87756591e-02
57       1.57527735e-10   -4.94246339e-02    6.94612852e-01    7.64266618e+00    1.16670876e+00   -2.82260318e-02
58       1.60861069e-10   -4.44310448e-02    7.13122758e-01    7.69446001e+00    1.14156029e+00   -2.76988385e-02
59       1.64194402e-10   -2.24663068e-02    7.48186494e-01    7.73861124e+00    1.11063824e+00   -2.72397943e-02
60       1.67527735e-10    8.07979689e-03    7.92592610e-01    7.75737059e+00    1.05713836e+00   -2.70299978e-02
61       1.70861069e-10    3.55396927e-02    8.37518251e-01    7.72496074e+00    9.57571522e-01   -2.73316335e-02
62       1.74194402e-10    4.94246339e-02    8.75226977e-01    7.66546148e+00    8.38212782e-01   -2.79077717e-02
63       1.77527735e-10    4.44310448e-02    9.00304114e-01    7.62762755e+00    7.47521059e-01   -2.82735724e-02
64       1.80861069e-10    2.24663068e-02    9.12513858e-01    7.61962026e+00    6.91544906e-01   -2.83475404e-02
65       1.84194402e-10   -8.07979689e-03    9.18314433e-01    7.63028604e+00    6.57250828e-01   -2.82379824e-02
66       1.87527735e-10   -3.55396927e-02    9.28468154e-01    7.63995088e+00    6.24200612e-01   -2.81362572e-02
67       1.90861069e-10   -4.94246339e-02    9.53906651e-01    7.62521850e+00    5.69672472e-01   -2.82708616e-02
68       1.94194402e-10   -4.44310448e-02    1.00152121e+00    7.57104098e+00    4.80489547e-01   -2.87888296e-02
69       1.97527735e-10   -2.24663068e-02    1.07116129e+00    7.48127660e+00    3.62621469e-01   -2.96516533e-02
70       2.00861069e-10    8.07979689e-03    1.15518102e+00    7.37696358e+00    2.38278449e-01   -3.06527737e-02
71       2.04194402e-10    3.55396927e-02    1.24130132e+00    7.27931792e+00    1.28409849e-01   -3.15861701e-02
72       2.07527735e-10    4.94246339e-02    1.31769060e+00    7.19994903e+00    4.33167361e-02   -3.23416644e-02
73       2.10861069e-10    4.44310448e-02    1.37769392e+00    7.14129633e+00   -1.62385644e-02   -3.28981897e-02
74       2.14194402e-10    2.24663068e-02    1.42218204e+00    7.09979468e+00   -5.53538033e-02   -3.32909621e-02
75       2.17527735e-10   -8.07979689e-03    1.45883259e+00    7.06810771e+00   -8.24473993e-02   -3.35895066e-02
76       2.20861069e-10   -3.55396927e-02    1.49883251e+00    7.03742779e+00   -1.06818457e-01   -3.38763058e-02
77       2.24194402e-10   -4.94246339e-02    1.55232282e+00    7.00023255e+00   -1.35922341e-01   -3.42215131e-02
