Index       TIME             V(BASE)           V(COLL)           V(OUT)            I(VDD)      
65       1.37808768e-10    3.58383062e-01    1.00249934e+01    6.13642417e-01   -1.41010958e-02
66       1.41142102e-10    3.75339552e-01    1.00224626e+01    5.71603384e-01   -1.33067704e-02
67       1.44475435e-10    3.73824179e-01    1.00205882e+01    5.32911789e-01   -1.25895605e-02
68       1.47808768e-10    3.56393182e-01    1.00194639e+01    4.97442338e-01   -1.19255126e-02
69       1.51142102e-10    3.31671832e-01    1.00189421e+01    4.64844312e-01   -1.12903581e-02
70       1.54475435e-10    3.11062599e-01    1.00186793e+01    4.34600087e-01   -1.06674570e-02
71       1.57808768e-10    3.04393485e-01    1.00182736e+01    4.06168747e-01   -1.00529089e-02
72       1.61142102e-10    3.16160896e-01    1.00174081e+01    3.79126691e-01   -9.45586094e-03
73       1.64475435e-10    3.43809503e-01    1.00159776e+01    3.53282571e-01   -8.89390378e-03
74       1.67808768e-10    3.78707206e-01    1.00141175e+01    3.28690078e-01   -8.38533928e-03
75       1.71142102e-10    4.09447095e-01    1.00121582e+01    3.05588178e-01   -7.94126239e-03
76       1.74475435e-10    4.26206737e-01    1.00104899e+01    2.84258275e-01   -7.56044230e-03
77       1.77808768e-10    4.24499175e-01    1.00094202e+01    2.64883917e-01   -7.22894855e-03
78       1.81142102e-10    4.06880973e-01    1.00090469e+01    2.47433291e-01   -6.92468700e-03
79       1.84475435e-10    3.81975518e-01    1.00092257e+01    2.31642910e-01   -6.62512556e-03
80       1.87808768e-10    3.61182422e-01    1.00096166e+01    2.17076490e-01   -6.31524633e-03
81       1.91142102e-10    3.54327162e-01    1.00098205e+01    2.03268943e-01   -5.99266520e-03
82       1.94475435e-10    3.65904827e-01    1.00095235e+01    1.89867340e-01   -5.66794902e-03
83       1.97808768e-10    3.93360004e-01    1.00086229e+01    1.76746291e-01   -5.36001826e-03
84       2.01142102e-10    4.28061817e-01    1.00072568e+01    1.64021310e-01   -5.08841576e-03
85       2.04475435e-10    4.58605660e-01    1.00057582e+01    1.51988982e-01   -4.86539004e-03
86       2.07808768e-10    4.75172099e-01    1.00045196e+01    1.40984610e-01   -4.69078044e-03
87       2.11142102e-10    4.73276513e-01    1.00038513e+01    1.31242066e-01   -4.55164503e-03
88       2.14475435e-10    4.55475803e-01    1.00038529e+01    1.22776412e-01   -4.42680219e-03
89       2.17808768e-10    4.30391296e-01    1.00043815e+01    1.15366860e-01   -4.29457968e-03
90       2.21142102e-10    4.09419522e-01    1.00050982e+01    1.08617460e-01   -4.14077962e-03
91       2.24475435e-10    4.02383293e-01    1.00056059e+01    1.02101245e-01   -3.96378435e-03
92       2.27808768e-10    4.13776303e-01    1.00055924e+01    9.55009113e-02   -3.77486745e-03
93       2.31142102e-10    4.41043037e-01    1.00049559e+01    8.87236232e-02   -3.59361022e-03
94       2.34475435e-10    4.75553863e-01    1.00038358e+01    8.19155703e-02   -3.44018002e-03
95       2.37808768e-10    5.05906636e-01    1.00025658e+01    7.54016224e-02   -3.32741678e-03
96       2.41142102e-10    5.22285217e-01    1.00015400e+01    6.95443219e-02   -3.25571188e-03
97       2.44475435e-10    5.20207545e-01    1.00010722e+01    6.46048498e-02   -3.21259161e-03
98       2.47808768e-10    5.02230716e-01    1.00012643e+01    6.06226970e-02   -3.17724673e-03
99       2.51142102e-10    4.76973670e-01    1.00019695e+01    5.73940674e-02   -3.12840188e-03
100      2.54475435e-10    4.55829631e-01    1.00028475e+01    5.45408737e-02   -3.05234720e-03
101      2.57808768e-10    4.48618666e-01    1.00035046e+01    5.16580412e-02   -2.94792087e-03
102      2.61142102e-10    4.59833051e-01    1.00036318e+01    4.84483593e-02   -2.82673731e-03
103      2.64475435e-10    4.86917169e-01    1.00031271e+01    4.48341786e-02   -2.70867255e-03
104      2.67808768e-10    5.21242745e-01    1.00021283e+01    4.09751121e-02   -2.61421815e-03
105      2.71142102e-10    5.51410531e-01    1.00009670e+01    3.72077495e-02   -2.55659571e-03
106      2.74475435e-10    5.67608452e-01    1.00000394e+01    3.39095043e-02   -2.53658287e-03
107      2.77808768e-10    5.65357211e-01    9.99967400e+00    3.13682143e-02   -2.54181047e-03
108      2.81142102e-10    5.47213076e-01    9.99998035e+00    2.96409280e-02   -2.55120021e-03
109      2.84475435e-10    5.21791561e-01    1.00007866e+01    2.85088528e-02   -2.54350205e-03
110      2.87808768e-10    5.00482480e-01    1.00017373e+01    2.75896289e-02   -2.50569847e-03
111      2.91142102e-10    4.93103500e-01    1.00024568e+01    2.65059235e-02   -2.43727211e-03
112      2.94475435e-10    5.04145703e-01    1.00026507e+01    2.49834859e-02   -2.34993893e-03
113      2.97808768e-10    5.31053510e-01    1.00022121e+01    2.29472588e-02   -2.26351028e-03
114      3.01142102e-10    5.65200489e-01    1.00012675e+01    2.05526516e-02   -2.19868622e-03
115      3.04475435e-10    5.95192079e-01    1.00001341e+01    1.81297710e-02   -2.16932786e-03
116      3.07808768e-10    6.11223246e-01    9.99921408e+00    1.60697967e-02   -2.17698583e-03
117      3.11142102e-10    6.08817315e-01    9.99891322e+00    1.47418836e-02   -2.20867865e-03
