Index       TIME             V(BASE)           V(COLL)           V(OUT)          I(V_SUPPLY)   
65       2.16666667e-10    2.07435742e+00    4.00547087e+00    6.24437598e-03   -2.63098725e-02
66       2.20000000e-10    2.06046064e+00    4.00921800e+00    9.46776761e-03   -2.60678372e-02
67       2.23333333e-10    2.05199058e+00    4.00944105e+00    9.07279305e-03   -2.57585471e-02
68       2.26666667e-10    2.05218367e+00    4.00607716e+00    5.23207793e-03   -2.54998717e-02
69       2.30000000e-10    2.06096622e+00    4.00040677e+00   -5.92953999e-04   -2.53900498e-02
70       2.33333333e-10    2.07498410e+00    3.99456969e+00   -6.20347898e-03   -2.54709719e-02
71       2.36666667e-10    2.08888469e+00    3.99078505e+00   -9.46581563e-03   -2.57122795e-02
72       2.40000000e-10    2.09736063e+00    3.99051605e+00   -9.11543294e-03   -2.60222326e-02
73       2.43333333e-10    2.09717548e+00    3.99388908e+00   -5.26312240e-03   -2.62821841e-02
74       2.46666667e-10    2.08839999e+00    3.99961117e+00    6.13937052e-04   -2.63922684e-02
75       2.50000000e-10    2.07438650e+00    4.00547106e+00    6.24519226e-03   -2.63103673e-02
76       2.53333333e-10    2.06048944e+00    4.00921822e+00    9.46856348e-03   -2.60683254e-02
77       2.56666667e-10    2.05201911e+00    4.00944121e+00    9.07347896e-03   -2.57590290e-02
78       2.60000000e-10    2.05221193e+00    4.00607734e+00    5.23274350e-03   -2.55003479e-02
79       2.63333333e-10    2.06099422e+00    4.00040688e+00   -5.92399722e-04   -2.53905211e-02
80       2.66666667e-10    2.07501183e+00    3.99456984e+00   -6.20292463e-03   -2.54714389e-02
81       2.70000000e-10    2.08891217e+00    3.99078514e+00   -9.46534843e-03   -2.57127423e-02
82       2.73333333e-10    2.09738786e+00    3.99051621e+00   -9.11494421e-03   -2.60226914e-02
83       2.76666667e-10    2.09720246e+00    3.99388920e+00   -5.26269256e-03   -2.62826383e-02
84       2.80000000e-10    2.08842672e+00    3.99961135e+00    6.14394347e-04   -2.63927177e-02
85       2.83333333e-10    2.07441298e+00    4.00547121e+00    6.24559582e-03   -2.63108111e-02
86       2.86666667e-10    2.06051568e+00    4.00921841e+00    9.46896885e-03   -2.60687636e-02
87       2.90000000e-10    2.05204510e+00    4.00944135e+00    9.07381713e-03   -2.57594618e-02
88       2.93333333e-10    2.05223767e+00    4.00607749e+00    5.23306398e-03   -2.55007761e-02
89       2.96666667e-10    2.06101971e+00    4.00040698e+00   -5.92138456e-04   -2.53909451e-02
90       3.00000000e-10    2.07503709e+00    3.99456996e+00   -6.20267200e-03   -2.54718592e-02
91       3.03333333e-10    2.08893720e+00    3.99078524e+00   -9.46513309e-03   -2.57131593e-02
92       3.06666667e-10    2.09741265e+00    3.99051632e+00   -9.11471867e-03   -2.60231049e-02
93       3.10000000e-10    2.09722703e+00    3.99388932e+00   -5.26248502e-03   -2.62830481e-02
94       3.13333333e-10    2.08845106e+00    3.99961149e+00    6.14621745e-04   -2.63931231e-02
95       3.16666667e-10    2.07443709e+00    4.00547135e+00    6.24580090e-03   -2.63112118e-02
96       3.20000000e-10    2.06053956e+00    4.00921856e+00    9.46917619e-03   -2.60691594e-02
97       3.23333333e-10    2.05206876e+00    4.00944147e+00    9.07398113e-03   -2.57598530e-02
98       3.26666667e-10    2.05226111e+00    4.00607761e+00    5.23321744e-03   -2.55011631e-02
99       3.30000000e-10    2.06104293e+00    4.00040708e+00   -5.92027785e-04   -2.53913286e-02
100      3.33333333e-10    2.07506009e+00    3.99457006e+00   -6.20256092e-03   -2.54722396e-02
101      3.36666667e-10    2.08895998e+00    3.99078531e+00   -9.46504860e-03   -2.57135368e-02
102      3.40000000e-10    2.09743523e+00    3.99051642e+00   -9.11461640e-03   -2.60234794e-02
103      3.43333333e-10    2.09724940e+00    3.99388941e+00   -5.26239311e-03   -2.62834193e-02
104      3.46666667e-10    2.08847322e+00    3.99961162e+00    6.14738813e-04   -2.63934905e-02
105      3.50000000e-10    2.07445905e+00    4.00547148e+00    6.24590372e-03   -2.63115750e-02
106      3.53333333e-10    2.06056131e+00    4.00921870e+00    9.46928606e-03   -2.60695182e-02
107      3.56666667e-10    2.05209030e+00    4.00944158e+00    9.07405813e-03   -2.57602077e-02
108      3.60000000e-10    2.05228245e+00    4.00607772e+00    5.23328779e-03   -2.55015142e-02
109      3.63333333e-10    2.06106407e+00    4.00040716e+00   -5.91989318e-04   -2.53916765e-02
110      3.66666667e-10    2.07508103e+00    3.99457014e+00   -6.20252068e-03   -2.54725848e-02
