Index       TIME             V(BASE)           V(COLL)           V(OUT)          I(V_SUPPLY)   
56       1.79666667e-10    1.79701532e-01    9.92503284e+00   -7.04653221e-02   -3.88885492e-03
57       1.82666667e-10    9.69334303e-02    9.93027098e+00   -6.12749743e-02   -6.05929750e-03
58       1.85666667e-10   -1.68705384e-02    9.95449926e+00   -3.41829611e-02   -7.78774386e-03
59       1.88666667e-10   -1.26565604e-01    9.98989907e+00    2.17703152e-03   -8.62176888e-03
60       1.91666667e-10   -1.97042086e-01    1.00256960e+01    3.68044668e-02   -8.38784347e-03
61       1.94666667e-10   -2.05153017e-01    1.00508234e+01    5.90561003e-02   -7.24005310e-03
62       1.97666667e-10   -1.48166089e-01    1.00570055e+01    6.16180181e-02   -5.62261886e-03
63       2.00666667e-10   -4.47039097e-02    1.00417831e+01    4.32495391e-02   -4.14078927e-03
64       2.03666667e-10    7.20280335e-02    1.00099351e+01    9.80976606e-03   -3.36501638e-03
65       2.06666667e-10    1.65516951e-01    9.97206325e+00   -2.75304604e-02   -3.63504111e-03
66       2.09666667e-10    2.07347582e-01    9.94068598e+00   -5.63901120e-02   -4.94380258e-03
67       2.12666667e-10    1.85188959e-01    9.92563238e+00   -6.77203992e-02   -6.94902712e-03
68       2.15666667e-10    1.05738709e-01    9.93085120e+00   -5.87087055e-02   -9.10177339e-03
69       2.18666667e-10   -7.15930449e-03    9.95385545e+00   -3.29545541e-02   -1.08311735e-02
70       2.21666667e-10   -1.18722656e-01    9.98730602e+00    1.44140966e-03   -1.17137513e-02
71       2.24666667e-10   -1.93462963e-01    1.00212341e+01    3.42973483e-02   -1.15856491e-02
72       2.27666667e-10   -2.07099458e-01    1.00453134e+01    5.56773953e-02   -1.05874360e-02
73       2.30666667e-10   -1.55261817e-01    1.00516234e+01    5.85602605e-02   -9.13338361e-03
74       2.33666667e-10   -5.49322593e-02    1.00375724e+01    4.15072226e-02   -7.79544651e-03
75       2.36666667e-10    6.17494095e-02    1.00074141e+01    9.80940872e-03   -7.12064934e-03
76       2.39666667e-10    1.58363278e-01    9.97104574e+00   -2.60710808e-02   -7.44375198e-03
77       2.42666667e-10    2.05581589e-01    9.94036643e+00   -5.43381179e-02   -8.77256942e-03
78       2.45666667e-10    1.89477247e-01    9.92490052e+00   -6.61882352e-02   -1.07935652e-02
79       2.48666667e-10    1.14951485e-01    9.92870943e+00   -5.86346436e-02   -1.29894160e-02
