Index       TIME              V(IN)            V(BASE)           V(COLL)           V(OUT)           V(OUT_50)          I(V_DD)     
46       1.48698036e-10    6.07395788e-03    8.47346359e-01    1.14319787e+00    1.73959615e+00   -2.44188528e-02   -3.80201927e-03
47       1.52031370e-10   -9.34039695e-03    8.35793649e-01    1.17536034e+00    1.75695333e+00   -6.04616457e-03   -3.71523333e-03
48       1.55364703e-10   -2.11870376e-02    8.27686530e-01    1.21039671e+00    1.77707857e+00    1.38199467e-02   -3.61460714e-03
49       1.58698036e-10   -2.49409500e-02    8.26182055e-01    1.23611215e+00    1.79280435e+00    2.81468290e-02   -3.53597827e-03
50       1.62031370e-10   -1.91682672e-02    8.31907463e-01    1.24364653e+00    1.79916777e+00    3.24890594e-02   -3.50416113e-03
51       1.65364703e-10   -6.07395788e-03    8.42638033e-01    1.22927705e+00    1.79382783e+00    2.52253039e-02   -3.53086085e-03
52       1.68698036e-10    9.34039695e-03    8.54196804e-01    1.19699141e+00    1.77776359e+00    8.05183098e-03   -3.61118203e-03
53       1.72031370e-10    2.11870376e-02    8.62170751e-01    1.15931289e+00    1.75643967e+00   -1.31036986e-02   -3.71780165e-03
54       1.75364703e-10    2.49409500e-02    8.63587833e-01    1.13207002e+00    1.73870198e+00   -2.94238082e-02   -3.80649012e-03
55       1.78698036e-10    1.91682672e-02    8.57941760e-01    1.12620317e+00    1.73230814e+00   -3.37130769e-02   -3.83845928e-03
56       1.82031370e-10    6.07395788e-03    8.47349034e-01    1.14312765e+00    1.73964631e+00   -2.44365857e-02   -3.80176843e-03
57       1.85364703e-10   -9.34039695e-03    8.35796587e-01    1.17529470e+00    1.75700224e+00   -6.06396991e-03   -3.71498878e-03
58       1.88698036e-10   -2.11870376e-02    8.27689708e-01    1.21033519e+00    1.77712629e+00    1.38021414e-02   -3.61436853e-03
59       1.92031370e-10   -2.49409500e-02    8.26185437e-01    1.23605437e+00    1.79285100e+00    2.81291367e-02   -3.53574500e-03
60       1.95364703e-10   -1.91682672e-02    8.31911005e-01    1.24359172e+00    1.79921306e+00    3.24711876e-02   -3.50393469e-03
61       1.98698036e-10   -6.07395788e-03    8.42641701e-01    1.22922482e+00    1.79387156e+00    2.52070761e-02   -3.53064221e-03
62       2.02031370e-10    9.34039695e-03    8.54200582e-01    1.19694146e+00    1.77780549e+00    8.03300806e-03   -3.61097253e-03
63       2.05364703e-10    2.11870376e-02    8.62174640e-01    1.15926540e+00    1.75647985e+00   -1.31229743e-02   -3.71760077e-03
64       2.08698036e-10    2.49409500e-02    8.63591839e-01    1.13202496e+00    1.73874055e+00   -2.94433936e-02   -3.80629726e-03
65       2.12031370e-10    1.91682672e-02    8.57945888e-01    1.12616066e+00    1.73234541e+00   -3.37326592e-02   -3.83827293e-03
66       2.15364703e-10    6.07395788e-03    8.47353285e-01    1.14308758e+00    1.73968248e+00   -2.44559670e-02   -3.80158758e-03
67       2.18698036e-10   -9.34039695e-03    8.35800960e-01    1.17525710e+00    1.75703762e+00   -6.08286749e-03   -3.71481189e-03
68       2.22031370e-10   -2.11870376e-02    8.27694187e-01    1.21029977e+00    1.77716096e+00    1.37837741e-02   -3.61419519e-03
69       2.25364703e-10   -2.49409500e-02    8.26189995e-01    1.23602076e+00    1.79288490e+00    2.81112165e-02   -3.53557548e-03
70       2.28698036e-10   -1.91682672e-02    8.31915608e-01    1.24355926e+00    1.79924584e+00    3.24533324e-02   -3.50377081e-03
71       2.32031370e-10   -6.07395788e-03    8.42646326e-01    1.22919317e+00    1.79390286e+00    2.51889485e-02   -3.53048568e-03
72       2.35364703e-10    9.34039695e-03    8.54205224e-01    1.19691057e+00    1.77783508e+00    8.01438532e-03   -3.61082461e-03
73       2.38698036e-10    2.11870376e-02    8.62179314e-01    1.15923561e+00    1.75650782e+00   -1.31419546e-02   -3.71746091e-03
74       2.42031370e-10    2.49409500e-02    8.63596558e-01    1.13199645e+00    1.73876714e+00   -2.94624823e-02   -3.80616428e-03
75       2.45364703e-10    1.91682672e-02    8.57950660e-01    1.12613359e+00    1.73237095e+00   -3.37515373e-02   -3.83814523e-03
76       2.48698036e-10    6.07395788e-03    8.47358115e-01    1.14306197e+00    1.73970724e+00   -2.44743894e-02   -3.80146381e-03
77       2.52031370e-10   -9.34039695e-03    8.35805847e-01    1.17523300e+00    1.75706186e+00   -6.10060123e-03   -3.71469070e-03
78       2.55364703e-10   -2.11870376e-02    8.27699120e-01    1.21027696e+00    1.77718476e+00    1.37667652e-02   -3.61407618e-03
79       2.58698036e-10   -2.49409500e-02    8.26194952e-01    1.23599888e+00    1.79290815e+00    2.80947649e-02   -3.53545926e-03
